,SN,HSOH1824,HSOHO25,BOHO25,WHITE,BLACK,UEO16,LT1WH,MIH,NHIP,PF,PP,CIPERTHOUSAND,ABOLISHDP
58,Delaware10,0.8049999999999999,0.877,0.278,0.688933707822624,0.2136170364414311,0.09300000000000001,0.06,0.7255,0.09699999999999999,0.081,0.11800000000000001,0.07496035750324348,0
59,District-of-Columbia10,0.879,0.8740000000000001,0.501,0.38468032632955695,0.5070854861788564,0.124,0.10400000000000001,0.92959,0.076,0.141,0.192,0.2663031165413982,1
60,Florida10,0.811,0.855,0.258,0.7504350494726165,0.15955600966102895,0.133,0.083,0.61877,0.213,0.12,0.165,0.06979341620380809,0
61,Georgia10,0.792,0.843,0.273,0.5974037261656667,0.3045562222346321,0.126,0.092,0.62967,0.19699999999999998,0.13699999999999998,0.179,0.0773060262956864,0
62,Hawaii10,0.929,0.899,0.295,0.2474444994159381,0.01574945545140377,0.081,0.062,0.7956,0.079,0.07400000000000001,0.107,0.025472659345635685,1
63,Idaho10,0.842,0.883,0.244,0.8908541945493123,0.006258045831095279,0.1,0.078,0.56086,0.177,0.11599999999999999,0.157,0.01925618604976849,0
64,Illinois10,0.848,0.8690000000000001,0.308,0.7153098148243984,0.1454654766811175,0.114,0.071,0.72022,0.138,0.10099999999999999,0.138,0.04826475347516516,0
65,Indiana10,0.801,0.87,0.22699999999999998,0.8433178557889337,0.0912114527864978,0.10800000000000001,0.076,0.58451,0.14800000000000002,0.11,0.153,0.057324118344823406,0
66,Iowa10,0.869,0.9059999999999999,0.249,0.9130784166651621,0.029263825128719403,0.067,0.064,0.60901,0.09300000000000001,0.08199999999999999,0.126,0.016772685810178784,1
67,Kansas10,0.854,0.892,0.298,0.8380459553372837,0.05883528126071196,0.079,0.07,0.63094,0.139,0.095,0.136,0.0501795442853237,0
68,Kentucky10,0.832,0.8190000000000001,0.205,0.8779015464697961,0.07778092979920805,0.11199999999999999,0.10300000000000001,0.5432,0.153,0.145,0.19,0.05654254375280081,0
69,Louisiana10,0.78,0.8190000000000001,0.214,0.6256252520199093,0.3203787379460587,0.10099999999999999,0.098,0.59116,0.17800000000000002,0.145,0.187,0.1412653640676953,0
70,Maine10,0.869,0.903,0.268,0.952279538468835,0.011824345942104594,0.083,0.071,0.593,0.10099999999999999,0.08800000000000001,0.129,0.025618740013435604,1
71,Maryland10,0.858,0.8809999999999999,0.361,0.5818400873500403,0.29449773726814965,0.08800000000000001,0.055,0.89563,0.113,0.066,0.099,0.09967953705395098,1
72,Massachusetts10,0.882,0.8909999999999999,0.39,0.8041439122467079,0.06634432097481394,0.102,0.07400000000000001,0.84005,0.044000000000000004,0.08199999999999999,0.114,0.04241135394745622,0
73,Michigan10,0.849,0.887,0.252,0.7894986057768191,0.14168484485472962,0.151,0.084,0.59772,0.124,0.121,0.168,0.08034293440238048,1
74,Minnesota10,0.866,0.9179999999999999,0.318,0.8529649269173301,0.05173753399605009,0.083,0.059000000000000004,0.71345,0.091,0.075,0.11599999999999999,0.02532946305759895,1
75,Mississippi10,0.7969999999999999,0.81,0.195,0.5913408735290063,0.370163485488645,0.12300000000000001,0.114,0.50591,0.182,0.17800000000000002,0.22399999999999998,0.07488041687642205,0
76,Missouri10,0.837,0.8690000000000001,0.256,0.8279897216980604,0.11577883650944484,0.1,0.085,0.59525,0.132,0.106,0.153,0.09500596244316023,0
77,Montana10,0.842,0.917,0.28800000000000003,0.8944285259471506,0.004070081816022599,0.075,0.069,0.56266,0.17300000000000001,0.1,0.146,0.029936300758299512,0
78,Nebraska10,0.866,0.904,0.28600000000000003,0.8611962388184901,0.045383091109491604,0.066,0.062,0.6163,0.115,0.08800000000000001,0.129,0.04233381968566409,0
79,Nevada10,0.781,0.847,0.217,0.661601280627546,0.08095607155724888,0.141,0.07,0.6663,0.226,0.111,0.149,0.08382891254291329,0
80,New-Hampshire10,0.868,0.915,0.32799999999999996,0.9389123945095597,0.011420693217467925,0.078,0.047,0.77323,0.111,0.053,0.083,0.012609178512019942,0
81,New-Jersey10,0.867,0.88,0.354,0.6857735090982671,0.13703827639414215,0.10800000000000001,0.055,0.90882,0.132,0.078,0.10300000000000001,0.057873702367717036,1
82,New-Mexico10,0.777,0.833,0.25,0.6837074387413624,0.0206635751432974,0.095,0.09699999999999999,0.57655,0.196,0.157,0.204,0.08531066654774877,1
83,New-York10,0.849,0.8490000000000001,0.325,0.6574933912516303,0.1586223459862065,0.099,0.08199999999999999,0.78726,0.11900000000000001,0.115,0.149,0.05722879981326037,1
84,North-Carolina10,0.817,0.847,0.265,0.6847005023237942,0.21484260419739618,0.127,0.09,0.59053,0.168,0.133,0.175,0.061835993082613575,0
85,North-Dakota10,0.915,0.903,0.276,0.9001741028351554,0.011834829785114579,0.039,0.077,0.61289,0.098,0.078,0.13,0.017174195961392406,1
86,Ohio10,0.834,0.8809999999999999,0.24600000000000002,0.8268914915645156,0.12201972105240895,0.114,0.085,0.59654,0.12300000000000001,0.11800000000000001,0.158,0.054450562065926925,0
87,Oklahoma10,0.815,0.862,0.22899999999999998,0.7215653773800426,0.07401173603856318,0.08199999999999999,0.086,0.56533,0.18899999999999997,0.127,0.16899999999999998,0.07241825392171339,0
88,Oregon10,0.8360000000000001,0.888,0.28800000000000003,0.836479274480211,0.018064386122533787,0.127,0.078,0.61552,0.171,0.11,0.158,0.030614517471469625,0
89,Pennsylvania10,0.865,0.884,0.271,0.8192392936787668,0.10845913194685815,0.096,0.076,0.65878,0.102,0.09300000000000001,0.134,0.06861837061900421,0
90,Rhode-Island10,0.892,0.835,0.302,0.8140754935315282,0.05718305818061938,0.109,0.085,0.6984,0.122,0.092,0.14,0.0361941599516446,1
91,South-Carolina10,0.803,0.841,0.245,0.6615695543096717,0.2790448492270014,0.128,0.09699999999999999,0.56365,0.175,0.138,0.182,0.0782023144509438,0
92,South-Dakota10,0.814,0.8959999999999999,0.263,0.8590139772531873,0.012536539831486894,0.06,0.079,0.59391,0.124,0.092,0.14400000000000002,0.027670036443065645,0
93,Tennessee10,0.835,0.836,0.231,0.775585654507765,0.16660849450174556,0.113,0.094,0.56835,0.14400000000000002,0.134,0.177,0.08169290751231104,0
94,Texas10,0.8,0.807,0.259,0.7039632959471455,0.11849399581898372,0.08800000000000001,0.078,0.66756,0.237,0.138,0.179,0.07332780353505339,0
95,Utah10,0.856,0.9059999999999999,0.293,0.8609475430417691,0.010596316416927622,0.09300000000000001,0.053,0.68176,0.153,0.09699999999999999,0.132,0.030481507972753737,0
96,Vermont10,0.91,0.91,0.336,0.952937397421617,0.010031306882560037,0.081,0.071,0.63768,0.08,0.084,0.127,0.014104400774533093,1
97,Virginia10,0.872,0.865,0.342,0.6857687216036348,0.19390005579285852,0.079,0.059000000000000004,0.81608,0.131,0.077,0.111,0.06271272903109967,0
98,Washington10,0.822,0.898,0.311,0.7727460911824452,0.03569641938333328,0.10800000000000001,0.066,0.71739,0.142,0.092,0.134,0.033133672278529015,0
99,West-Virginia10,0.838,0.8320000000000001,0.175,0.9390143734950033,0.03406594948499563,0.08900000000000001,0.10400000000000001,0.50574,0.146,0.132,0.18100000000000002,0.03884712633494401,1
100,Wisconsin10,0.867,0.9009999999999999,0.263,0.8619797903494048,0.06315260842913979,0.08900000000000001,0.063,0.62376,0.094,0.091,0.132,0.03788888636296313,1
101,Wyoming10,0.838,0.9229999999999999,0.24100000000000002,0.9071245826132932,0.008424025861120673,0.063,0.06,0.6671,0.149,0.07200000000000001,0.11199999999999999,0.018702862940744653,0
